,home,distance,type,assisted,result
324,0,22,2-pt jump shot,0,0
325,0,21,2-pt jump shot,0,0
326,0,2,2-pt layup,1,1
327,0,10,2-pt jump shot,0,1
328,0,23,2-pt jump shot,0,1
329,0,25,3-pt jump shot,0,0
330,0,2,2-pt layup,0,1
331,0,26,3-pt jump shot,0,0
332,0,26,3-pt jump shot,0,0
333,0,18,2-pt jump shot,1,1
334,0,25,3-pt jump shot,0,0
335,0,20,2-pt jump shot,0,0
336,0,4,2-pt layup,0,0
337,0,1,2-pt dunk,1,1
338,0,18,2-pt jump shot,0,0
339,0,23,3-pt jump shot,0,0
340,0,23,3-pt jump shot,1,1
341,0,27,3-pt jump shot,1,1
342,0,85,3-pt jump shot,0,0
343,0,27,3-pt jump shot,1,1
344,0,24,3-pt jump shot,0,0
345,0,27,3-pt jump shot,0,0
346,0,2,2-pt layup,0,0
347,0,27,3-pt jump shot,1,1
348,0,26,3-pt jump shot,0,0
349,0,3,2-pt layup,1,1
350,1,0,2-pt dunk,0,1
351,1,28,3-pt jump shot,0,0
352,1,23,3-pt jump shot,0,0
353,1,2,2-pt layup,0,0
354,1,28,3-pt jump shot,0,0
355,1,5,2-pt jump shot,0,1
356,1,2,2-pt layup,0,1
357,1,26,3-pt jump shot,0,0
358,1,3,2-pt jump shot,0,0
359,1,26,3-pt jump shot,0,1
360,1,25,3-pt jump shot,1,1
361,1,2,2-pt jump shot,0,0
362,1,1,2-pt layup,0,1
363,1,24,3-pt jump shot,1,1
364,1,9,2-pt jump shot,1,1
365,1,1,2-pt layup,0,0
366,1,5,2-pt layup,0,0
367,1,26,3-pt jump shot,0,0
368,1,2,2-pt dunk,0,0
369,1,3,2-pt layup,0,1
370,1,3,2-pt layup,0,1
371,1,3,2-pt hook shot,0,0
372,1,25,3-pt jump shot,1,1
373,1,24,3-pt jump shot,1,1
374,1,27,3-pt jump shot,0,0
375,1,1,2-pt layup,0,1
376,1,25,3-pt jump shot,0,0
377,1,26,3-pt jump shot,0,0
378,1,25,3-pt jump shot,0,0
379,1,7,2-pt hook shot,0,0
380,1,26,3-pt jump shot,0,0
381,0,12,2-pt jump shot,0,1
382,0,24,3-pt jump shot,0,0
383,0,26,3-pt jump shot,0,0
384,0,7,2-pt jump shot,0,0
385,0,26,3-pt jump shot,0,0
386,0,1,2-pt layup,0,0
387,0,10,2-pt jump shot,0,0
388,0,26,3-pt jump shot,0,1
389,0,2,2-pt layup,0,0
390,0,1,2-pt layup,0,1
391,0,3,2-pt layup,0,0
392,1,24,3-pt jump shot,0,0
393,1,26,3-pt jump shot,0,0
394,1,25,3-pt jump shot,0,0
395,1,7,2-pt jump shot,0,0
396,1,26,3-pt jump shot,0,1
397,1,1,2-pt layup,0,1
398,0,12,2-pt jump shot,0,0
399,0,26,3-pt jump shot,1,1
400,0,28,3-pt jump shot,0,0
401,0,1,2-pt dunk,0,1
402,0,27,3-pt jump shot,1,1
403,0,26,3-pt jump shot,0,0
404,0,27,3-pt jump shot,1,1
405,0,29,3-pt jump shot,0,0
406,0,20,2-pt jump shot,0,1
407,0,3,2-pt layup,0,0
408,0,1,2-pt layup,0,0
409,0,0,2-pt dunk,1,1
410,0,27,3-pt jump shot,0,0
411,0,1,2-pt dunk,1,1
412,0,27,3-pt jump shot,1,1
413,0,25,3-pt jump shot,0,0
414,0,13,2-pt jump shot,0,0
415,0,26,3-pt jump shot,0,0
416,0,2,2-pt layup,0,0
417,1,28,3-pt jump shot,1,1
418,1,25,3-pt jump shot,0,0
419,1,4,2-pt jump shot,0,0
420,1,27,3-pt jump shot,0,1
421,1,2,2-pt layup,0,1
422,1,24,3-pt jump shot,0,0
423,1,25,3-pt jump shot,1,1
424,1,12,2-pt jump shot,0,0
425,1,9,2-pt jump shot,0,0
426,1,25,3-pt jump shot,1,1
427,1,2,2-pt layup,0,0
428,1,0,2-pt layup,0,0
429,1,26,3-pt jump shot,1,1
430,1,23,3-pt jump shot,0,0
431,1,1,2-pt layup,0,1
432,1,1,2-pt layup,0,0
433,1,2,2-pt layup,0,0
434,1,2,2-pt layup,0,0
435,1,1,2-pt layup,0,0
436,1,26,3-pt jump shot,0,0
437,1,4,2-pt jump shot,1,1
438,1,2,2-pt layup,0,1
439,1,2,2-pt dunk,0,0
440,1,2,2-pt layup,1,1
441,1,43,3-pt jump shot,0,0
442,1,1,2-pt layup,0,1
443,1,26,3-pt jump shot,0,0
444,1,1,2-pt layup,1,1
445,1,25,3-pt jump shot,0,1
446,1,29,3-pt jump shot,0,0
447,1,26,3-pt jump shot,0,0
448,1,3,2-pt layup,0,1
449,1,5,2-pt jump shot,0,0
450,1,25,3-pt jump shot,0,0
451,1,1,2-pt layup,0,1
452,1,25,3-pt jump shot,0,0
453,1,2,2-pt layup,0,0
