,home,distance,type,assisted,result
338,1,25,3-pt jump shot,0,1
339,1,1,2-pt dunk,0,1
340,0,6,2-pt layup,0,0
341,0,2,2-pt layup,0,1
342,0,20,2-pt jump shot,0,0
343,0,1,2-pt layup,0,1
344,0,26,3-pt jump shot,0,0
345,0,3,2-pt dunk,0,0
346,0,3,2-pt layup,1,1
347,0,2,2-pt layup,0,1
348,0,1,2-pt dunk,0,1
349,0,15,2-pt jump shot,1,1
350,0,1,2-pt layup,0,1
351,0,1,2-pt layup,0,1
352,0,25,3-pt jump shot,0,0
353,0,1,2-pt layup,0,1
354,0,11,2-pt jump shot,0,1
355,0,1,2-pt layup,0,1
356,0,27,3-pt jump shot,0,0
357,1,26,3-pt jump shot,0,1
358,1,25,3-pt jump shot,0,0
359,1,9,2-pt jump shot,0,0
360,1,11,2-pt jump shot,0,1
361,1,27,3-pt jump shot,0,0
362,1,28,3-pt jump shot,0,0
363,1,26,3-pt jump shot,0,0
364,1,27,3-pt jump shot,0,0
365,1,19,2-pt jump shot,1,1
366,1,10,2-pt jump shot,0,0
367,1,23,3-pt jump shot,1,1
368,1,14,2-pt jump shot,0,0
369,1,23,3-pt jump shot,0,0
370,1,23,3-pt jump shot,0,0
371,1,24,3-pt jump shot,0,0
372,1,8,2-pt jump shot,0,0
373,1,8,2-pt jump shot,0,0
374,1,16,2-pt jump shot,0,0
375,1,14,2-pt jump shot,0,0
376,1,4,2-pt layup,0,0
377,1,24,3-pt jump shot,0,0
378,0,21,2-pt jump shot,0,0
379,0,3,2-pt layup,1,1
380,0,28,3-pt jump shot,0,0
381,0,15,2-pt jump shot,0,0
382,0,21,2-pt jump shot,0,0
383,0,24,3-pt jump shot,1,1
384,0,12,2-pt jump shot,0,0
385,0,26,3-pt jump shot,0,0
386,0,1,2-pt layup,0,1
387,0,26,3-pt jump shot,0,0
388,0,2,2-pt layup,0,0
389,0,11,2-pt jump shot,0,0
390,0,8,2-pt jump shot,0,0
391,0,15,2-pt jump shot,0,1
392,0,25,3-pt jump shot,1,1
393,0,12,2-pt jump shot,0,0
394,0,9,2-pt jump shot,0,0
395,0,24,3-pt jump shot,0,0
396,0,17,2-pt jump shot,0,1
397,0,24,3-pt jump shot,1,1
398,0,20,2-pt jump shot,0,0
399,0,25,3-pt jump shot,0,0
400,0,11,2-pt jump shot,0,1
401,0,2,2-pt layup,0,0
402,0,5,2-pt jump shot,0,0
403,0,5,2-pt layup,0,0
404,0,9,2-pt jump shot,0,0
405,0,25,3-pt jump shot,0,0
406,0,22,3-pt jump shot,1,1
407,0,10,2-pt jump shot,0,1
408,0,11,2-pt jump shot,0,0
409,0,6,2-pt jump shot,0,0
410,0,6,2-pt jump shot,0,1
411,0,10,2-pt jump shot,0,1
412,0,16,2-pt jump shot,0,1
413,0,1,2-pt dunk,1,1
414,0,14,2-pt jump shot,0,0
415,0,10,2-pt jump shot,0,0
416,0,26,3-pt jump shot,0,1
417,0,24,3-pt jump shot,0,0
418,0,25,3-pt jump shot,1,1
419,0,14,2-pt jump shot,0,1
420,0,15,2-pt jump shot,0,1
421,0,24,3-pt jump shot,1,1
422,0,1,2-pt layup,0,0
423,0,1,2-pt layup,0,1
424,0,8,2-pt jump shot,0,0
425,0,1,2-pt layup,0,0
426,0,26,3-pt jump shot,0,0
427,0,25,3-pt jump shot,0,0
428,0,2,2-pt layup,0,0
429,0,1,2-pt layup,0,1
430,0,26,3-pt jump shot,1,1
431,0,25,3-pt jump shot,1,1
432,0,26,3-pt jump shot,0,0
433,0,24,3-pt jump shot,1,1
434,0,17,2-pt jump shot,0,1
435,0,17,2-pt jump shot,0,0
436,0,8,2-pt jump shot,0,0
437,0,12,2-pt jump shot,0,1
438,0,1,2-pt layup,1,1
439,0,5,2-pt layup,0,0
440,0,0,2-pt dunk,1,1
441,1,22,2-pt jump shot,0,0
442,1,0,2-pt dunk,0,1
443,1,0,2-pt layup,0,1
444,1,25,3-pt jump shot,0,0
445,1,17,2-pt jump shot,0,0
446,1,14,2-pt jump shot,0,0
447,1,1,2-pt layup,0,0
448,1,1,2-pt layup,0,0
449,1,26,3-pt jump shot,1,1
450,1,1,2-pt layup,1,1
451,1,2,2-pt layup,0,0
452,1,23,3-pt jump shot,0,0
453,1,2,2-pt layup,0,0
454,1,1,2-pt layup,1,1
455,1,7,2-pt jump shot,0,1
456,1,25,3-pt jump shot,0,0
457,1,1,2-pt dunk,1,1
458,1,2,2-pt layup,0,0
459,1,3,2-pt layup,1,1
460,1,22,3-pt jump shot,0,0
461,0,26,3-pt jump shot,1,1
462,0,1,2-pt layup,1,1
463,0,0,2-pt layup,0,1
464,0,1,2-pt dunk,0,1
465,0,10,2-pt jump shot,0,0
466,0,25,3-pt jump shot,0,0
467,0,19,2-pt jump shot,0,0
468,0,2,2-pt layup,0,1
469,0,12,2-pt jump shot,0,0
